"","Stage","Date","Distance","Origin","Destination","Type","Winner","Spe_Winner","Winner_Country","lon_Origin","lat_Origin","lon_Destination","lat_Destination"
"1","1","2017-07-01",14,"Düsseldorf","Düsseldorf","Individual time trial","Geraint Thomas","G-R","GBR","6.7763137","51.2254018","6.7763137","51.2254018"
"2","2","2017-07-02",203.5,"Düsseldorf","Liège","Flat stage","Marcel Kittel","S ","GER","6.7763137","51.2254018","5.5736112","50.6450944"
"3","3","2017-07-03",212.5,"Verviers","Longwy","Medium mountain stage","Peter Sagan","S ","SVK","5.867828","50.59324","5.7679082","49.5145564"
"4","4","2017-07-04",207.5,"Mondorf-les-Bains","Vittel","Flat stage","Arnaud Démare","S ","FRA","6.2814238","49.5071747","5.9418851","48.2020717"
"5","5","2017-07-05",160.5,"Vittel","La Planche des Belles Filles","Medium mountain stage","Fabio Aru","G ","ITA","5.9418851","48.2020717","6.7735372","47.7671922"
"6","6","2017-07-06",216,"Vesoul","Troyes","Flat stage","Marcel Kittel","S ","GER","6.1544694","47.6197395","4.0746257","48.2971626"
"7","7","2017-07-07",213.5,"Troyes","Nuits-Saint-Georges","Flat stage","Marcel Kittel","S ","GER","4.0746257","48.2971626","4.9540989","47.134979"
"8","8","2017-07-08",187.5,"Dole","Station des Rousses","Medium mountain stage","Lilian Calmejane","B","FRA","5.4925463","47.0921047","6.0965015","46.4879234"
"9","9","2017-07-09",181.5,"Nantua","Chambéry","High mountain stage","Rigoberto Urán","G ","COL","5.6058987","46.1534255","5.9203636","45.5662672"
"10","10","2017-07-11",178,"Périgueux","Bergerac","Flat stage","Marcel Kittel","S ","GER","0.7184407","45.1909365","0.487531","44.8534568"
"11","11","2017-07-12",203.5,"Eymet","Pau","Flat stage","Marcel Kittel","S ","GER","0.3984795","44.6681229","-0.3685668","43.2957547"
"12","12","2017-07-13",214.5,"Pau","Peyragudes","High mountain stage","Romain Bardet","G ","FRA","-0.3685668","43.2957547","0.4561131095802365","42.7807436"
"13","13","2017-07-14",101,"Saint-Girons","Foix","High mountain stage","Warren Barguil","G ","FRA","1.1464455","42.9841865","1.6053807","42.9638998"
"14","14","2017-07-15",181.5,"Blagnac","Rodez","Medium mountain stage","Michael Matthews","S-P","AUS","1.37799","43.6434","2.5727883","44.3513062"
"15","15","2017-07-16",189.5,"Laissac-Sévérac-l'Église","Le Puy-en-Velay","Medium mountain stage","Bauke Mollema","G ","NED","2.83870503079627","44.36917755","3.8855537","45.0459739"
